OperatorID,OperatorContractAddress,NetworkID,NetworkContractAddress,Label,TotalUSDStake,CollateralTypeCount,PercentageOfTotalStake
Everstake,0x6f64DeCffDE23AA598724325202f8324c231A682,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Everstake,1503289.9107141555,1,0.6340658671246303
Luganodes,0xAC128Aa884c64cbE6Afecf5c006D51C2bb1Bf819,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Luganodes,33642725.72692553,6,14.190013455452027
Nodeinfra,0x9321d38c355d1D8cB9dbfC05a5c0f347b1DDa46a,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Nodeinfra,14138116.080016622,1,5.963252176372107
Chorus One,0xd741F826c60DaCEBB8835278E0F18f1C5DD4c6d0,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Chorus One,32262324.71399788,7,13.607780341929779
cp0x by STAKR_space,0x9766e9e3045a8cEd5E1fa5B72AEEeEC9D74D00d0,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,cp0x by STAKR.space,1573912.7181771572,1,0.6638535423652172
P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P.org,79199093.5636904,9,33.40502825039895
Stakely,0x57A58ff6f5724d29C05a4d0B29d07b82817C50D5,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Stakely,1503289.9107141555,1,0.6340658671246303
Kiln,0xfF645D02C79141424fb4F8bBB5e494f05067c08B,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Kiln,24821202.737529267,7,10.46922308510079
blockscape,0xfd42c11Bf9518A078445b04857B205Fee688b133,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,blockscape,1570901.7866685137,1,0.6625835751524564
Stakin,0x5d24dBA4ccdE2C5B7bC5b609c6a3D5150acB9447,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Stakin,1503289.9107141555,1,0.6340658671246303
Pier Two,0x51B6D824bd35AeD4FD1a9E253E41Dc7C9feeFa30,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Pier Two,43865905.00161062,7,18.502002104730146
Finoa Consensus Services,0x2A21EaAe1519D852296a158549416442fbb1fdD2,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Finoa Consensus Services,1503289.9107141555,1,0.6340658671246303
