VaultID,VaultContractAddress,NetworkID,NetworkContractAddress,CollateralID,Label,Stake,USDStake,Limit,UtilizationPercent,UnderlyingAsset,PrimaryDelegatorType,PrimarySlasherType,CuratorID
Renzo Restaked LST,0xa88e91cEF50b792f9449e2D4C699b6B3CcE1D19F,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,Renzo Restaked LST,27895.2096925637,68069186.52921662,41104.0,67.86,ETH,NetworkRestake,VetoSlasher,Renzo
Restaking Vault ETH _all Networks,0x7b276aAD6D2ebfD7e270C5a2697ac79182D9550E,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,Restaking Vault ETH [all Networks],21730.93246918795,53027272.85442457,27000.0,80.48,ETH,NetworkRestake,VetoSlasher,re7 Labs
MEV Capital restaked ETH,0x446970400e1787814CA050A4b45AE9d21B3f7EA7,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,MEV Capital restaked ETH,5000.000000000001,12200873.78431905,5000.0,100.0,ETH,NetworkRestake,VetoSlasher,MEV Capital
Ether_fi _ wstETH,0x450a90fdEa8B87a6448Ca1C87c88Ff65676aC45b,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,Ether.fi - wstETH,8250.0,20131441.74412643,8250.0,100.0,ETH,NetworkRestake,VetoSlasher,Ether Fi
Steakhouse Resteaking Vault,0xf7Ce770AbdD1895f2CB0989D7cf2A26705FF37a7,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,Steakhouse Resteaking Vault,1500.0,3660262.1352957147,1500.0,100.0,ETH,NetworkRestake,VetoSlasher,Steakhouse Financial
Re7 Labs LRT Vault,0x3D93b33f5E5fe74D54676720e70EA35210cdD46E,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,Re7 Labs LRT Vault,3353.6711468923017,8183543.675469097,5000.0,67.07,ETH,NetworkRestake,VetoSlasher,re7 Labs
Gauntlet Restaked wstETH,0xc10A7f0AC6E3944F4860eE97a937C51572e3a1Da,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,Gauntlet Restaked wstETH,2683.13975794571,6547329.906476795,50385.0,5.33,ETH,NetworkRestake,VetoSlasher,Gauntlet
MEV Capital wstETH Vault,0x4e0554959A631B3D3938ffC158e0a7b2124aF9c5,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,MEV Capital wstETH Vault,2725.1932006090565,6649947.6557031125,3000.0,90.84,ETH,NetworkRestake,VetoSlasher,MEV Capital
cp0x LRT Conservative Vault,0x82c304aa105fbbE2aA368A83D7F8945d41f6cA54,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,cp0x LRT Conservative Vault,645.0,1573912.7181771572,2000.0,32.25,ETH,NetworkRestake,VetoSlasher,cp0x
Gauntlet x Swell swBTC Vault,0x9e405601B645d3484baeEcf17bBF7aD87680f6e8,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,WBTC,Gauntlet x Swell swBTC Vault,157.18299039,13529609.1964274,19100000000000.0,0.0,BTC,NetworkRestake,VetoSlasher,Gauntlet
Vault 0x35e4_5fe7,0x35E44d92E8F738A272Bddbae53d1Dc9490e75Fe7,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,WBTC,Vault 0x35e4...5fe7,0.0111,955.4383824084474,0.0111,100.0,BTC,NetworkRestake,VetoSlasher,
Gauntlet Restaked swETH,0x65B560d887c010c4993C8F8B36E595C171d69D63,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,swETH,Gauntlet Restaked swETH,2542.232604600365,5696147.236084465,56044.0,4.54,ETH,NetworkRestake,VetoSlasher,Gauntlet
Gauntlet Restaked cbETH,0xB8Fd82169a574eB97251bF43e443310D33FF056C,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,cbETH,Gauntlet Restaked cbETH,2281.365105882261,5070401.7007499775,55128.0,4.14,ETH,NetworkRestake,VetoSlasher,Gauntlet
Gauntlet Restaked wBETH,0x81bb35c4152B605574BAbD320f8EABE2871CE8C6,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wBETH,Gauntlet Restaked wBETH,1128.4116295129063,2266554.776431418,56499.0,2.0,ETH,NetworkRestake,VetoSlasher,Gauntlet
Gauntlet Restaked rETH,0xaF07131C497E06361dc2F75de63dc1d3e113f7cb,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,rETH,Gauntlet Restaked rETH,753.044752082196,1730016.9655411758,59857.0,1.26,ETH,NetworkRestake,VetoSlasher,Gauntlet
Vault 0x9ec7_f742,0x9ec7175541948494Db7831c95868DD97d2E0F742,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,osETH,Vault 0x9ec7...f742,1006.2021029827075,2236314.056486242,3000.0,33.54,ETH,NetworkRestake,VetoSlasher,
Ether_fi _ LBTC,0xd4E20ECA1f996Dab35883dC0AD5E3428AF888D45,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,LBTC,Ether.fi - LBTC,249.99999999,21518882.485815987,250.0,100.0,ETH,NetworkRestake,VetoSlasher,Ether Fi
lvlwaUSDC,0x67F91a36c5287709E68E3420cd17dd5B13c60D6d,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,lvlwaUSDC,lvlwaUSDC,4000000.0,3995657.6160971522,4000000.0,100.0,USD,NetworkRestake,VetoSlasher,Level Money
lvlwaUSDT,0x9BF93077Ad7BB7f43E177b6AbBf8Dae914761599,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,lvlwaUSDT,lvlwaUSDT,1000000.0,999031.4962478379,1000000.0,100.0,USD,NetworkRestake,VetoSlasher,Level Money
